num_epochs,H1,H2,lambda_,learning_rate,lr_decay,loss_val,acc_val
200,100,50,0.01,0.01,False,0.04273414901553878,0.8873333333333333
200,100,100,0.1,0.001,True,0.05088238555171204,0.8871666666666667
200,150,100,0.01,0.01,True,0.03980431646862885,0.8859166666666667
200,150,50,0.1,0.001,True,0.0680561004941782,0.8846666666666667
200,150,150,0.1,0.001,False,0.04569311318038123,0.8846666666666667
200,150,100,0.01,0.01,False,0.03953007866707348,0.88375
200,100,150,0.1,0.001,False,0.04629937160406325,0.8835833333333334
200,100,50,0.1,0.001,True,0.07124996242643902,0.8830833333333333
200,50,150,0.01,0.01,True,0.03762325791376324,0.883
200,100,50,0.1,0.001,False,0.07016036314184546,0.8825
100,150,100,0.01,0.01,False,0.0423453781606883,0.8824166666666666
200,50,150,0.01,0.01,False,0.039111113566802226,0.8820833333333333
200,150,100,0.1,0.001,True,0.05122041047093491,0.8815
200,150,100,0.1,0.001,False,0.05236603230200669,0.8801666666666667
200,150,50,0.01,0.01,True,0.045413678266712436,0.8796666666666667
200,150,150,0.1,0.001,True,0.04769984255000387,0.8794166666666666
200,50,50,0.1,0.001,True,0.07504770629179694,0.8785
100,100,150,0.01,0.01,True,0.0422157318293393,0.87825
100,50,50,0.01,0.01,False,0.048183829052587515,0.8781666666666667
200,50,50,0.01,0.01,False,0.04626068244413121,0.8776666666666667
200,100,100,0.1,0.001,False,0.05427006469015977,0.8773333333333333
200,150,50,0.01,0.01,False,0.04525391967130241,0.877
200,100,150,0.01,0.01,True,0.04026661058156515,0.8755833333333334
100,150,150,0.01,0.01,True,0.04228295616966718,0.8748333333333334
100,100,100,0.01,0.01,True,0.045109661754913,0.8748333333333334
200,150,150,0.001,0.01,False,0.05369414902286815,0.87475
100,150,100,0.001,0.01,True,0.04682418504951323,0.87475
200,50,150,0.1,0.001,False,0.05007719175201629,0.8741666666666666
100,100,150,0.1,0.001,True,0.06609089049959102,0.874
200,100,150,0.1,0.001,True,0.04910897376873242,0.8738333333333334
100,100,50,0.01,0.01,False,0.04854107176354704,0.873
200,150,100,0.001,0.01,False,0.05335009344155261,0.873
200,100,50,0.01,0.01,True,0.047506334550849336,0.8728333333333333
200,150,100,0.001,0.01,True,0.05314496203569612,0.8723333333333333
200,50,50,0.1,0.001,False,0.07601238487075263,0.8718333333333333
100,50,100,0.01,0.01,True,0.04515797821029753,0.8715
100,150,50,0.1,0.001,True,0.08371609993501779,0.8710833333333333
200,100,150,0.001,0.01,True,0.049055354795618754,0.8710833333333333
100,100,100,0.1,0.001,False,0.07070609590088273,0.871
100,100,50,0.1,0.001,True,0.08449516416750932,0.8708333333333333
200,150,150,0.01,0.01,True,0.04497753641302297,0.8706666666666667
100,150,150,0.01,0.01,False,0.046612606139050126,0.8706666666666667
100,50,150,0.01,0.01,True,0.04343610649182833,0.8706666666666667
200,150,50,0.001,0.01,False,0.05576452878120428,0.8705833333333334
100,150,100,0.1,0.001,False,0.0697280933022067,0.8704166666666666
100,100,50,0.001,0.01,False,0.044451025772842045,0.8703333333333333
100,150,150,0.1,0.001,False,0.06595947827078956,0.8698333333333333
100,100,150,0.1,0.001,False,0.0663545617187567,0.8696666666666667
100,150,100,0.01,0.01,True,0.04540997701081327,0.8695
100,50,100,0.1,0.001,True,0.07215785320869941,0.8688333333333333
100,150,100,0.1,0.001,True,0.07138015832101734,0.8685833333333334
100,50,100,0.1,0.001,False,0.07202603726650922,0.8679166666666667
200,50,50,0.001,0.01,False,0.050621873607919365,0.86775
200,50,100,0.1,0.001,False,0.05836112151673394,0.8676666666666667
100,150,150,0.001,0.01,True,0.047188683436871104,0.8671666666666666
200,50,150,0.1,0.001,True,0.052284614669624384,0.8671666666666666
100,50,50,0.1,0.001,True,0.0889548814469321,0.8670833333333333
200,100,50,0.001,0.01,False,0.05641170524820563,0.8669166666666667
100,100,150,0.001,0.01,True,0.04753056262127664,0.86675
200,50,100,0.001,0.01,True,0.049146970595022196,0.86675
200,150,150,0.001,0.01,True,0.060747855758666244,0.8666666666666667
100,50,150,0.1,0.001,True,0.06703289418799305,0.8666666666666667
100,150,50,0.01,0.01,True,0.04884735886748994,0.8663333333333333
200,50,150,0.001,0.01,False,0.04735793858995753,0.86625
